promoters,thresholds,>entrezgene:10613,>entrezgene:10613,>entrezgene:10613,>entrezgene:10613,>entrezgene:10613,>entrezgene:10613,>entrezgene:1147,>entrezgene:1244,>entrezgene:1244,>entrezgene:1244,>entrezgene:1244,>entrezgene:1244,>entrezgene:1244,>entrezgene:1355,>entrezgene:1369,>entrezgene:1369,>entrezgene:1369,>entrezgene:159296,>entrezgene:159296,>entrezgene:159296,>entrezgene:23268,>entrezgene:23268,>entrezgene:23268,>entrezgene:23268,>entrezgene:23268,>entrezgene:23268,>entrezgene:23268,>entrezgene:23268,>entrezgene:23268,>entrezgene:26507,>entrezgene:26507,>entrezgene:26507,>entrezgene:2805,>entrezgene:2805,>entrezgene:3257,>entrezgene:51076,>entrezgene:57089,>entrezgene:60495,>entrezgene:60495,>entrezgene:60495,>entrezgene:60495,>entrezgene:60495,>entrezgene:81894,>entrezgene:81894,>entrezgene:81894,>entrezgene:84171,>entrezgene:84795
ARNT_f1,5.7111,-8.702785796355405,-4.422856579779941,3.752875012997442,0.01005402071206607,2.141084749996626,-3.496879010890065,3.5348394670149896,1.9502547879105998,-5.118569546163757,-5.221893769014192,-1.855713064804996,-5.344392873269299,-15.945619300809945,0.965589138369372,-3.509411247185872,-4.178069629814326,-4.178069629814326,-2.128512317773486,-7.472344612058935,-8.92523510040072,3.2387903638138558,-9.775103386270851,-0.6060050778762545,0,-13.765597345198495,-2.867764286266728,-5.8710440156192,-4.7691482031477666,2.8907547042600306,0.6299153392007488,8.698456398910327,-6.223505412914087,3.57474983837633,0,7.2879140837657,3.978042332307097,4.140874717316288,-4.799397669727546,-2.088601946412147,-4.960735246222396,-9.744307811616638,1.2298806053126206,5.264481977804909,2.141084749996626,3.57474983837633,-4.533701592694589,4.0179527036684375
ATF1_si,4.9825,-9.248137973295458,-0.021718943937358848,-0.8682837663196579,4.270101819323282,0.6819065722345634,-3.419854498491736,2.6344767615220293,0.9588045966608414,-1.0453885808553478,-2.511096322717025,2.438866057678235,-3.4043451004044085,0,1.774298298160424,0.3078634771834887,-3.067307396892411,-3.6495994948208565,0.7260937501444515,-6.494135937886543,-9.728309751732699,1.431609909860676,-4.996873583819351,-0.6070753716208901,0,0,2.0009788603012124,-4.537485475265369,-2.772590558115145,3.4777545983293745,0.6516497549002209,3.6000326987108795,0,-0.3529649483416828,0,0.45592761853045216,3.045535212125658,4.547388640591267,-0.9963883008010341,-4.841446735034682,-7.105323533911141,-1.879415611815626,-6.305434314916261,2.1920019548038203,-5.192029459255982,1.4754416304588198,-3.0945873879852064,-0.8035607200633845
ATF2+ATF4_f1,4.9283,-3.9073525278045818,-1.3438584135938267,0.27340156266799465,5.057407857729077,-0.6306075679944037,-6.084360084240145,-0.04678579786631909,3.5811088148317074,-2.0139817247447933,-2.910225892583521,3.911643821905153,-2.3296629500775285,0,0.8005799316192881,-0.5449386008746258,-2.8147007130934267,-3.456619092998528,-2.173114980275042,-7.687997417729921,-7.308326866443311,2.611292492971779,-8.00587447847567,-1.656387242058396,0,-7.696752198536817,2.762768651289087,-3.49192953303334,-1.536019294999889,2.1872026050516924,-0.19977397223891669,2.5986878135089144,-7.159777575729221,0.49534409277057634,0,0.5788631201342125,3.196209209927773,2.0022212675375934,0.27340156266799465,-5.414917257826604,-7.890947787522632,1.1942963987772417,-6.070592596868077,1.8975040204648166,-4.7601139471249825,2.349535390699935,-2.064783115593926,0.30784371839130587
ATF3_f1,5.4544,-2.759813519273135,-1.0161629856395138,0.023702334087992938,7.184921338687162,1.5318461599870754,-6.4999344107346335,0.8959532487324091,5.141121410797644,1.960386436225355,-1.9488700573596403,3.731095547016211,-0.20866284431007565,0,0.4963507794088704,-0.2891109410689936,0.4814489432426956,-2.7950705084968694,-2.1009062493426773,-8.012288193449917,-10.818374514416467,0.6922574543320612,-5.977151655762922,-1.1065991753740896,0,-11.308935367547182,5.793251735334441,-4.27703935244747,-1.8254252211556308,5.832742496425592,-1.6642196306245105,1.8359762323059927,-13.001405248444366,3.187918012394645,0,1.2792142591702547,5.1669683946239,3.274904312760382,0.3802317261872976,-3.760902743562016,-8.910387791457937,3.866969439018444,-4.352128706602154,3.950449438415514,-4.4189960052451225,2.903101941548556,-0.8886340754998769,2.2829766332689925
ATF5_si,4.5636,-7.329020749871707,3.157318117061359,-1.5896866914055394,-2.359786607048206,-0.11774186745714577,-8.542557294863329,-0.5094617081200832,-2.106333790688028,-0.8695985630838776,1.4106280915327174,4.912339079493083,-2.477935002811287,0,5.916181411572253,-1.1126164260459914,1.1683021155414768,4.00561586021051,1.7432500093814896,0,0,2.319541522642894,0,-0.78844243507278,0,0,0.859621144580394,-2.1799275339334034,0,1.1585630636109023,0.6059976526983732,-1.1891978043592917,0,2.2610934016381945,0,-1.6231689249368304,-0.6950786652780332,1.550892707645966,9.28919775819163,-2.9349493278657652,-7.674768988228096,-7.646710095988314,0,1.4745184611336184,-4.028626224888305,0.03374559237234598,1.1463935121813495,3.1226100870862337
ATF6A_si,5.0391,-6.141861008255258,-2.2959914538035333,0.6701467131895751,-2.219515724227276,2.0270042989959673,-6.817373284561725,2.039646286231568,-1.3051165094880106,-2.7568916428682004,-1.6247556786860269,0.1325920476792914,-5.402380750589644,0,1.1990899403664246,-3.3494949973320147,-1.0115931219310288,2.4173916457739724,4.182286926732332,0,0,3.6747814914638375,0,0.38201575145754907,0,0,0.16507750625347084,-4.061640087450372,0,4.447090834108203,-1.8551817634193406,2.911132948349148,0,3.5824801949901213,0,5.690768594721748,4.402415981315864,8.007442338242761,1.925434361147104,-10.12978759374602,-11.38191349931263,-8.167665308546978,0,4.773575923705773,-0.5079773462996204,3.8305667776389654,-3.5753979122670847,4.187896379440845
BACH1_si,4.5241,0,0.07118857791111699,0.5964823420867462,4.62688463092945,5.273438201608421,0,1.5895978030073188,0.05772188204162987,5.4151093638238965,-5.507125477186459,1.7806547034005162,0.046443152387047326,0,1.8979345447552263,-1.3715019994239859,0.15240418479675033,-2.073742738289707,-0.17558219317456558,0,0,2.6620266557114256,0,-0.9309336585926912,0,0,5.593195290113643,-4.605198632630946,0,8.23750508603359,-1.5927865065846807,3.7667522589911666,0,3.2071214691623178,0,2.2082628100957153,2.550858697738817,4.626884630929449,-1.0095762539777606,0,0,0,0,3.2045129563866417,-3.0621737218123517,4.900330971687959,-2.0149841393418777,4.022975151955179
BARX2_si,4.4599,0.7857329808049245,0.40144745913792157,-1.627034817739426,3.909481894157358,0.4009000944878893,-4.682513423433239,0.7347739484059037,1.8284016903764764,1.0390375956724451,2.2735370895442863,4.706918383958065,3.993291382157363,0,-0.17858622909780486,0.6457714578488031,-1.2085353051831467,2.242098779551661,-1.557975031452104,2.253496382211466,-0.871242737269452,-0.6984773695287216,-2.981581780864769,0.4209408018207099,0,0,0.5652100159356872,1.6174600042988223,-7.0784996095952355,-1.255497155737869,1.673574429959807,0.012906600225858544,0,2.3561123217973896,0,-0.2751033874179245,1.0220416946708313,2.5793206467433625,-1.6314871312862052,-4.18155630178482,-3.6026157011733844,6.075487326457646,-8.046049277030747,0.04044752609844693,-3.1222114133891745,-1.1625815232379004,-6.89262171262426,0.333225094726727
BATF_si,3.5959,1.6158909337009149,-0.30790401069667106,-5.163069733625997,2.536507999679249,-1.915319190433158,-10.42872388203866,-3.4889546345820044,5.768381628774607,2.5852839595254133,-3.6081125790168853,-0.9865108945617613,-0.8841452561640576,0,0.15719272881005308,3.199928105385978,1.552049284344449,-2.9700013134063123,-7.357507646568455,-9.411906132455606,-13.041896044499076,-0.9185878497968942,-13.483858387225064,-2.3841438176399485,0,0,4.934411977172259,-2.952216090339027,-11.474553954977733,8.923478848009252,-3.612234565235523,-4.7890589164168365,0,-1.1798270279794512,0,-5.959537214184268,-3.1694027004038103,6.190088130630732,-2.4651067792319177,-8.828872252472582,-9.248178928793326,6.674085645324669,-10.954386617085943,0.3625051210012443,-10.62369707353911,-4.608660120780176,-3.7157173838963815,-3.8478925351845774
BCL6_f1,4.6765,0,0.42453979099797245,4.662909045163735,-2.473497256785552,-3.089392894420099,0,1.6176089095137338,4.37424925842318,-0.8962068480235867,0.1440358728835638,2.840815820219926,0.525389277822244,0,0.9125263694942647,0.7336148029110363,-1.5345596343233765,10.31070449249507,-1.8573170740475533,0,0,2.847890616540204,0,-0.06911462868265544,0,0,0.6481879623319066,3.3653956345505707,0,1.9316657252262643,0.24940382987126541,1.6490247748460363,0,-0.5956942988668888,0,2.560602064734593,2.6314532463670255,3.8867656896598644,-0.6613339046478122,0,0,0,0,1.666348588370866,0,3.5899659352082094,-4.4733867385947965,3.8235708652314213
BHE40_f2,4.4538,-10.163883329452288,-2.269649021172632,0.7158819138695507,-7.115226542467028,2.329992239362661,-7.06541361199405,-0.4727592079328895,5.084539021669483,-7.328789831512458,-7.081244133615101,-0.9886386872820878,-1.759535315382108,0,-3.2602571066546027,-5.1656720064124455,-5.774935442900586,-4.007159718214428,-3.2284956125102218,-8.821122333837105,-4.367351469171264,2.459456085960067,-14.467103470548132,-1.2991983975687267,0,-20.261857720332873,0.1002406858629683,-9.930321495482765,-11.869814831169027,4.0230997797006705,1.0964597471282724,9.35228937745196,-14.456605186500001,4.635412129807888,0,3.7105145520199887,5.993141957467479,3.0062074203254463,-2.2128731455555766,-3.940073307302486,-6.250870192241464,-11.52207314988718,-7.417362582398659,2.000547416420934,0.08158627691475484,5.354771179924972,-5.8188140014700656,3.6481522756040126
BHE41_f1,5.6892,0,-2.170894698358004,1.1920204394220444,-4.950311769039897,6.518268253835206,0,3.387183542812471,-1.94544995498289,0,0,0.9384397983338432,-1.2481971420987565,0,2.165927628378761,-1.6583663151331374,0,0.7159145565390537,2.004291209452544,0,0,7.1508645990094575,0,2.7436450362486844,0,0,-2.1619337947359734,0,0,8.248129411280598,-3.9036370063143844,10.118624317063915,0,6.528607970425626,0,11.125509431902673,7.845947634999127,8.764803294737536,-0.2743826916146923,0,0,0,0,6.3075037155818565,0,5.982032439684804,0,6.053972509791608
BMAL1_f1,4.8782,0,-1.8815638998584376,1.0661255232117688,0.343115356766551,2.0610187820297674,0,1.3303188316939887,-2.496065527473366,-6.323307894979015,-1.1156657830791081,0.00488807071502001,-4.090801517752196,0,0.735656280778922,-1.4108509275130752,-7.692965756034687,-1.6137397184077054,-1.758541763108481,0,0,2.558331671254977,0,1.4154007818349605,0,0,1.101713447441341,-6.625800629939725,0,4.564326725485115,2.984141223222574,5.326431587311745,0,3.53178403475847,0,6.712670890611624,3.549196805587095,8.41655760229041,1.5835021345791627,0,0,0,0,3.1976808618490336,-15.503882099853271,0.692303488190946,-2.215540746552467,2.9202848047660286
