motif_name,motif
SOX2,SOX2_f1
SOX4,SOX4_f1
SOX5,SOX5_f1
SOX9,SOX9_f1
SP1,SP1_f1
SP2,SP2_si
SP3,SP3_f1
SP4,SP4_f1
SPI1,SPI1_si
SPIB,SPIB_f1
SPZ1,SPZ1_f1
SRF,SRF_do
SRY,SRY_f1
STAT1,STAT1_f2
STAT2,STAT2_f1
STAT3,STAT3_si
STAT4,STAT4_si
STAT6,STAT6_do
TAL1,TAL1_f1
TBP,TBP_f1
TBX2,TBX2_f1
TBX3,TBX3_f1
TBX5,TBX5_si
TCF7,TCF7_f1
TEAD1,TEAD1_f1
TEAD3,TEAD3_si
TEAD4,TEAD4_f1
TEF,TEF_f1
TFAP4,TFAP4_si
TFCP2,TFCP2_f1
TFDP1,TFDP1_f1
TFE3,TFE3_f1
TFEB,TFEB_f1
TGIF1,TGIF1_si
TLX1,TLX1_f1
USF1,USF1_f1
USF2,USF2_f1
VDR,VDR_f1
VSX2,VSX2_si
WT1,WT1_f1
XBP1,XBP1_f1
ZBTB4,ZBTB4_si
ZBTB6,ZBTB6_si
ZEB1,ZEB1_do
ZFHX3,ZFHX3_f1
ZFX,ZFX_f1
ZIC1,ZIC1_f1
ZIC2,ZIC2_f1
ZIC3,ZIC3_f1
